"collection_name","article_id","title","doi","tags"
"Apron slabs","7951544","Concrete slab block for boys","https://doi.org/10.17028/rd.lboro.7951544.v1","Technical illustration and graphics"
"Apron slabs","7952459","Reinforced concrete latrine slab 1","https://doi.org/10.17028/rd.lboro.7952459.v1","Technical illustration and graphics"
"Apron slabs","7952456","Plastic slab","https://doi.org/10.17028/rd.lboro.7952456.v1","Technical illustration and graphics"
"Apron slabs","7952462","Reinforced concrete latrine slab 2","https://doi.org/10.17028/rd.lboro.7952462.v1","Technical illustration and graphics"
"Apron slabs","7952435","Ferrocement slab","https://doi.org/10.17028/rd.lboro.7952435.v1","Technical illustration and graphics"
"Apron slabs","7952429","Ferrocement slab with pour-flush bowls","https://doi.org/10.17028/rd.lboro.7952429.v1","Technical illustration and graphics"
"Apron slabs","7952393","Domed concrete slab without reinforcement","https://doi.org/10.17028/rd.lboro.7952393.v1","Technical illustration and graphics"
"Apron slabs","7952354","Clay covered slab","https://doi.org/10.17028/rd.lboro.7952354.v1","Technical illustration and graphics"
"Apron slabs","7952570","Slabs made of wood quantities","https://doi.org/10.17028/rd.lboro.7952570.v1","Technical illustration and graphics"
"Apron slabs","7952555","Slabs made of wood lid - detail","https://doi.org/10.17028/rd.lboro.7952555.v1","Technical illustration and graphics"
"Apron slabs","7952561","Slabs made of wood orthographic","https://doi.org/10.17028/rd.lboro.7952561.v1","Technical illustration and graphics"
"Apron slabs","7952552","Slabs made of wood","https://doi.org/10.17028/rd.lboro.7952552.v1","Technical illustration and graphics"
"Apron slabs","7952543","Slab supported by poles","https://doi.org/10.17028/rd.lboro.7952543.v1","Technical illustration and graphics"
"Apron slabs","7952531","Reinforced concrete latrine slab","https://doi.org/10.17028/rd.lboro.7952531.v1","Technical illustration and graphics"
"Apron slabs","7952537","Reinforced concrete latrine slab - sections","https://doi.org/10.17028/rd.lboro.7952537.v1","Technical illustration and graphics"
"Apron slabs","7952504","Ferrocement slab with pour-flush bowls - sections","https://doi.org/10.17028/rd.lboro.7952504.v1","Technical illustration and graphics"
"Apron slabs","7952495","Domed concrete slab without reinforcement section","https://doi.org/10.17028/rd.lboro.7952495.v1","Technical illustration and graphics"
"Apron slabs","7952492","Domed concrete slab without reinforcement plan","https://doi.org/10.17028/rd.lboro.7952492.v1","Technical illustration and graphics"
"Apron slabs","7952498","Ferrocement slab with pour-flush bowls","https://doi.org/10.17028/rd.lboro.7952498.v1","Technical illustration and graphics"
"Apron slabs","7952486","Domed concrete slab with reinforcement for cold regions","https://doi.org/10.17028/rd.lboro.7952486.v1","Technical illustration and graphics"
"Apron slabs","7982834","Slab covered in mud","https://doi.org/10.17028/rd.lboro.7982834.v1","Technical illustration and graphics"
"Apron slabs","7982837","Slab made of logs","https://doi.org/10.17028/rd.lboro.7982837.v1","Technical illustration and graphics"
"Apron slabs","7982783","Concrete slab and pit lining","https://doi.org/10.17028/rd.lboro.7982783.v1","Technical illustration and graphics"
"Apron slabs","7764938","Raised apron slab on a mound","https://doi.org/10.17028/rd.lboro.7764938.v1","Line drawings"
"Apron slabs","7764923","Handpump with apron channel and fence","https://doi.org/10.17028/rd.lboro.7764923.v1","Line drawings"
"Apron slabs","7688882","A typical apron slab and channel drain","https://doi.org/10.17028/rd.lboro.7688882.v1","Technical illustration and graphics"
"Apron slabs","7688888","Pipework which makes up a distribution system","https://doi.org/10.17028/rd.lboro.7688888.v1","Technical illustration and graphics"
"Apron slabs","7688891","Pipework which makes up a distribution system","https://doi.org/10.17028/rd.lboro.7688891.v1","Technical illustration and graphics"
"Apron slabs","7688870","Orifice disk fitted in a standard pipe coupling","https://doi.org/10.17028/rd.lboro.7688870.v1","Technical illustration and graphics"
"Apron slabs","7688876","Orifice disk fitted in a standard pipe coupling","https://doi.org/10.17028/rd.lboro.7688876.v1","Technical illustration and graphics"
"Apron slabs","7688879","A typical apron slab and channel drain","https://doi.org/10.17028/rd.lboro.7688879.v1","Technical illustration and graphics"
"Apron slabs","7461341","Latrine slab under construction","https://doi.org/10.17028/rd.lboro.7461341.v1","Line drawings"
"Apron slabs","7461239","Twin pit latrine under construction with slabs in place","https://doi.org/10.17028/rd.lboro.7461239.v1","Line drawings"
"Apron slabs","7461224","Three men rolling a latrine slab","https://doi.org/10.17028/rd.lboro.7461224.v1","Line drawings"
"Apron slabs","7461227","VIP latrine with slab – under construction","https://doi.org/10.17028/rd.lboro.7461227.v1","Line drawings"
"Apron slabs","7461203","Four men test the strength of a latrine slab","https://doi.org/10.17028/rd.lboro.7461203.v1","Line drawings"
"Apron slabs","7314707","Drainage trench with concrete slabs","https://doi.org/10.17028/rd.lboro.7314707.v1","Line drawings"
"Apron slabs","7048901","Mixing concrete","https://doi.org/10.17028/rd.lboro.7048901.v1","Line drawings"
"Apron slabs","7048910","Problems with thermal cracking around a handpump compound","https://doi.org/10.17028/rd.lboro.7048910.v1","Line drawings"
"Apron slabs","7048895","Handpump with jerrycan","https://doi.org/10.17028/rd.lboro.7048895.v1","Line drawings"
"Apron slabs","7048904","Preventing erosion at the base of a concrete slab","https://doi.org/10.17028/rd.lboro.7048904.v1","Line drawings"
"Apron slabs","7048898","Handpump protected by a fence with apron and channel","https://doi.org/10.17028/rd.lboro.7048898.v1","Line drawings"
"Apron slabs","7049210","Handpump and apron 7","https://doi.org/10.17028/rd.lboro.7049210.v1","Technical illustration and graphics"
"Apron slabs","7049213","Well with windlass","https://doi.org/10.17028/rd.lboro.7049213.v1","Technical illustration and graphics"
"Apron slabs","7049207","Handpump and apron 6","https://doi.org/10.17028/rd.lboro.7049207.v1","Technical illustration and graphics"
"Apron slabs","7049237","Typical apron slab and channel drain","https://doi.org/10.17028/rd.lboro.7049237.v1","Technical illustration and graphics"
"Apron slabs","7049195","Handpump and apron 2","https://doi.org/10.17028/rd.lboro.7049195.v1","Technical illustration and graphics"
"Apron slabs","7049201","Handpump and apron 4","https://doi.org/10.17028/rd.lboro.7049201.v1","Technical illustration and graphics"
"Apron slabs","7049198","Handpump and apron 1","https://doi.org/10.17028/rd.lboro.7049198.v1","Technical illustration and graphics"
"Apron slabs","7049204","Handpump and apron 5","https://doi.org/10.17028/rd.lboro.7049204.v1","Technical illustration and graphics"
"Apron slabs","7049228","Hygienic arrangement at a well-head for a rope and washer pump","https://doi.org/10.17028/rd.lboro.7049228.v1","Technical illustration and graphics"
"Apron slabs","7049231","Recommended installation details for the Afridev pumpstand","https://doi.org/10.17028/rd.lboro.7049231.v1","Technical illustration and graphics"
"Apron slabs","7049234","Soakage systems for disposal of wasted water","https://doi.org/10.17028/rd.lboro.7049234.v1","Technical illustration and graphics"
"Apron slabs","7049219","Blair bucket in use","https://doi.org/10.17028/rd.lboro.7049219.v1","Technical illustration and graphics"
"Apron slabs","7049225","Section through a soakaway and apron slab","https://doi.org/10.17028/rd.lboro.7049225.v1","Technical illustration and graphics"
"Apron slabs","7049258","Handpump and apron 3","https://doi.org/10.17028/rd.lboro.7049258.v1","Technical illustration and graphics"
"Apron slabs","7049222","Installation details of India Mark III deep well pump","https://doi.org/10.17028/rd.lboro.7049222.v1","Technical illustration and graphics"
"Apron slabs","7049216","Woman at a well","https://doi.org/10.17028/rd.lboro.7049216.v1","Technical illustration and graphics"
"Apron slabs","7048907","Handpump with apron channel and fence","https://doi.org/10.17028/rd.lboro.7048907.v1","Line drawings"
"Apron slabs","7048799","Handpump in a protected compound with apron and channel","https://doi.org/10.17028/rd.lboro.7048799.v1","Line drawings"
"Writing for reports","8058335","Writing for reports - This sentence","https://doi.org/10.17028/rd.lboro.8058335.v1","Technical illustration and graphics"
"Writing for reports","8058329","Writing for reports - Pyramid","https://doi.org/10.17028/rd.lboro.8058329.v1","Technical illustration and graphics"
"Writing for reports","8058323","Writing for reports - Figure 8","https://doi.org/10.17028/rd.lboro.8058323.v1","Technical illustration and graphics"
"Writing for reports","8058332","Writing for reports - These paragraphs","https://doi.org/10.17028/rd.lboro.8058332.v1","Technical illustration and graphics"
"Writing for reports","8058311","Writing for reports - Figure 4","https://doi.org/10.17028/rd.lboro.8058311.v1","Technical illustration and graphics"
"Writing for reports","8058314","Writing for reports - Figure 5","https://doi.org/10.17028/rd.lboro.8058314.v1","Technical illustration and graphics"
"Writing for reports","8058317","Writing for reports - Figure 6","https://doi.org/10.17028/rd.lboro.8058317.v1","Technical illustration and graphics"
"Writing for reports","8058320","Writing for reports - Figure 7","https://doi.org/10.17028/rd.lboro.8058320.v1","Technical illustration and graphics"
"Writing for reports","8058299","Writing for reports - Figure 3 - Publications vary in depth","https://doi.org/10.17028/rd.lboro.8058299.v1","Technical illustration and graphics"
"Writing for reports","8058218","Study pushes frontiers","https://doi.org/10.17028/rd.lboro.8058218.v1","Technical illustration and graphics"
"Writing for reports","8058305","Writing for reports - Figure 3","https://doi.org/10.17028/rd.lboro.8058305.v1","Technical illustration and graphics"
"Writing for reports","8058287","Writing for reports - Figure 1","https://doi.org/10.17028/rd.lboro.8058287.v1","Technical illustration and graphics"
"Writing for reports","8058293","Writing for reports - Figure 2","https://doi.org/10.17028/rd.lboro.8058293.v1","Technical illustration and graphics"
"Water utilities management","8058947","Willingness to pay 02","https://doi.org/10.17028/rd.lboro.8058947.v1","Technical illustration and graphics"
"Water utilities management","8058950","Willingness to pay 03","https://doi.org/10.17028/rd.lboro.8058950.v1","Technical illustration and graphics"
