"collection_name","article_id","title","doi","tags","thumbnail_file"
"Groundwater","7874579","Digging a shallow well using compressed air to dewater","https://doi.org/10.17028/rd.lboro.7874579.v1","Technical illustration and graphics","7874579_thumbnail.jpg"
"Groundwater","7908668","Weathered and fractured zones","https://doi.org/10.17028/rd.lboro.7908668.v1","Technical illustration and graphics","7908668_thumbnail.jpg"
"Groundwater","7908662","Confined and unconfined aquifers","https://doi.org/10.17028/rd.lboro.7908662.v1","Technical illustration and graphics","7908662_thumbnail.jpg"
"Groundwater","7908647","Clay groundwater dam with an upstream well designed to cope with flooding in the wet season","https://doi.org/10.17028/rd.lboro.7908647.v1","Technical illustration and graphics","7908647_thumbnail.jpg"
"Groundwater","7908620","Coastal aquifers","https://doi.org/10.17028/rd.lboro.7908620.v1","Technical illustration and graphics","7908620_thumbnail.jpg"
"Groundwater","8094971","Clay groundwater dam with an upstream well designed to cope with flooding in the wet season","https://doi.org/10.17028/rd.lboro.8094971.v1","Technical illustration and graphics","8094971_thumbnail.jpg"
"Groundwater","7945895","Simple pit latrine and groundwater table","https://doi.org/10.17028/rd.lboro.7945895.v1","Technical illustration and graphics","7945895_thumbnail.jpg"
"Groundwater","8075909","Horizontal well - driven spring","https://doi.org/10.17028/rd.lboro.8075909.v1","Technical illustration and graphics","8075909_thumbnail.jpg"
"Groundwater","8075837","Combination spring well","https://doi.org/10.17028/rd.lboro.8075837.v1","Technical illustration and graphics","8075837_thumbnail.jpg"
"Groundwater","8068799","Well borehole and gravity overflow","https://doi.org/10.17028/rd.lboro.8068799.v1","Technical illustration and graphics","8068799_thumbnail.jpg"
"Groundwater","8068985","Protected well with a double bucket systems","https://doi.org/10.17028/rd.lboro.8068985.v1","Technical illustration and graphics","8068985_thumbnail.jpg"
"Groundwater","8068979","Well provided with roller bars to protect ropes from abrasion","https://doi.org/10.17028/rd.lboro.8068979.v1","Technical illustration and graphics","8068979_thumbnail.jpg"
"Groundwater","8068880","Buried well","https://doi.org/10.17028/rd.lboro.8068880.v1","Technical illustration and graphics","8068880_thumbnail.jpg"
"Groundwater","8068901","Backfilled well","https://doi.org/10.17028/rd.lboro.8068901.v1","Technical illustration and graphics","8068901_thumbnail.jpg"
"Groundwater","8068907","Cross-section of upgraded well with handpump","https://doi.org/10.17028/rd.lboro.8068907.v1","Technical illustration and graphics","8068907_thumbnail.jpg"
"Groundwater","8068853","Good features of open wells","https://doi.org/10.17028/rd.lboro.8068853.v1","Technical illustration and graphics","8068853_thumbnail.jpg"
"Groundwater","8068856","Suggested digging and lining techniques for hand-dug wells in different strata 1","https://doi.org/10.17028/rd.lboro.8068856.v1","Technical illustration and graphics","8068856_thumbnail.jpg"
"Groundwater","8068865","Suggested digging and lining techniques for hand-dug wells in different strata 2","https://doi.org/10.17028/rd.lboro.8068865.v1","Technical illustration and graphics","8068865_thumbnail.jpg"
"Groundwater","8068874","Well excavation supported by the modified Chicago method","https://doi.org/10.17028/rd.lboro.8068874.v1","Technical illustration and graphics","8068874_thumbnail.jpg"
"Groundwater","8069084","Below surface centrifugal pump installation in a dry well","https://doi.org/10.17028/rd.lboro.8069084.v1","Technical illustration and graphics","8069084_thumbnail.jpg"
"Groundwater","8068523","Changes in the nitrate concentration of groundwater","https://doi.org/10.17028/rd.lboro.8068523.v1","Technical illustration and graphics","8068523_thumbnail.jpg"
