"collection_name","title","year","doi"
"Apron slabs","Reinforced concrete latrine slab 2",2019,"https://doi.org/10.17028/rd.lboro.7952462.v1"
"Apron slabs","Ferrocement slab",2019,"https://doi.org/10.17028/rd.lboro.7952435.v1"
"Apron slabs","Ferrocement slab with pour-flush bowls",2019,"https://doi.org/10.17028/rd.lboro.7952429.v1"
"Apron slabs","Domed concrete slab without reinforcement",2019,"https://doi.org/10.17028/rd.lboro.7952393.v1"
"Apron slabs","Clay covered slab",2019,"https://doi.org/10.17028/rd.lboro.7952354.v1"
"Apron slabs","Slabs made of wood quantities",2019,"https://doi.org/10.17028/rd.lboro.7952570.v1"
"Apron slabs","Slabs made of wood lid - detail",2019,"https://doi.org/10.17028/rd.lboro.7952555.v1"
"Apron slabs","Slabs made of wood orthographic",2019,"https://doi.org/10.17028/rd.lboro.7952561.v1"
"Apron slabs","Slabs made of wood",2019,"https://doi.org/10.17028/rd.lboro.7952552.v1"
"Apron slabs","Slab supported by poles",2019,"https://doi.org/10.17028/rd.lboro.7952543.v1"
"Apron slabs","Reinforced concrete latrine slab",2019,"https://doi.org/10.17028/rd.lboro.7952531.v1"
"Apron slabs","Reinforced concrete latrine slab - sections",2019,"https://doi.org/10.17028/rd.lboro.7952537.v1"
"Apron slabs","Ferrocement slab with pour-flush bowls - sections",2019,"https://doi.org/10.17028/rd.lboro.7952504.v1"
"Apron slabs","Domed concrete slab without reinforcement section",2019,"https://doi.org/10.17028/rd.lboro.7952495.v1"
"Apron slabs","Domed concrete slab without reinforcement plan",2019,"https://doi.org/10.17028/rd.lboro.7952492.v1"
"Apron slabs","Ferrocement slab with pour-flush bowls",2019,"https://doi.org/10.17028/rd.lboro.7952498.v1"
"Apron slabs","Domed concrete slab with reinforcement for cold regions",2019,"https://doi.org/10.17028/rd.lboro.7952486.v1"
"Apron slabs","Slab covered in mud",2019,"https://doi.org/10.17028/rd.lboro.7982834.v1"
"Apron slabs","Slab made of logs",2019,"https://doi.org/10.17028/rd.lboro.7982837.v1"
"Apron slabs","Concrete slab and pit lining",2019,"https://doi.org/10.17028/rd.lboro.7982783.v1"
"Apron slabs","Raised apron slab on a mound",2019,"https://doi.org/10.17028/rd.lboro.7764938.v1"
"Apron slabs","Handpump with apron channel and fence",2019,"https://doi.org/10.17028/rd.lboro.7764923.v1"
"Apron slabs","A typical apron slab and channel drain",2019,"https://doi.org/10.17028/rd.lboro.7688882.v1"
"Apron slabs","Pipework which makes up a distribution system",2019,"https://doi.org/10.17028/rd.lboro.7688888.v1"
"Apron slabs","Pipework which makes up a distribution system",2019,"https://doi.org/10.17028/rd.lboro.7688891.v1"
"Apron slabs","Orifice disk fitted in a standard pipe coupling",2019,"https://doi.org/10.17028/rd.lboro.7688870.v1"
"Apron slabs","Orifice disk fitted in a standard pipe coupling",2019,"https://doi.org/10.17028/rd.lboro.7688876.v1"
"Apron slabs","A typical apron slab and channel drain",2019,"https://doi.org/10.17028/rd.lboro.7688879.v1"
"Apron slabs","Latrine slab under construction",2018,"https://doi.org/10.17028/rd.lboro.7461341.v1"
